,0,1,2,3,Cluster
무심,-0.89999723,-0.9707716,0.2334667,-0.7067835,8
피곤,-1.0586706,-1.0158113,0.44235995,0.6251109,8
기절,-0.98847336,-0.22163667,2.354422,3.3445644,8
다정,-1.3961077,0.37820858,0.14508721,0.083845034,8
농담,-1.28671,1.316505,-0.92898834,-0.2369142,8
훈계,-0.26306063,-0.7366547,1.4739765,-0.82209396,8
바쁘,-1.5020152,-0.27358782,0.56610596,0.8775246,8
기품,-1.9878289,-0.78841746,-1.1084925,-0.40187567,8
늦,-3.2068746,-1.2304244,0.15446246,1.9833091,8
방관,0.35626605,-1.1234474,1.7056494,-0.2308597,8
귀가,-1.2579147,-1.2347754,2.6308649,0.90199375,8
안심,-0.35446897,-0.68034184,1.7936751,0.8982806,8
날씬,-2.1284566,-1.6279382,0.20306449,0.75658107,8
매혹,-1.2466629,-0.8864767,0.84249485,0.30606413,8
진지,0.40449277,1.0524441,0.016087644,0.19622302,8
포식,-0.7106953,-1.5954903,-0.44590995,1.3735396,8
평온,0.5843204,-0.1085214,-0.5309902,0.8333824,8
가출,-0.9145081,-0.5582736,1.665743,-0.20381635,8
응원,-1.4452277,-0.6053477,1.3681836,-0.1032056,8
더럽,-2.0113013,-0.11695026,-0.2726644,0.6746134,8
예민,-0.67927927,-0.27833083,-1.347603,2.6282184,8
소심,-1.4467189,0.5587368,0.51066506,0.73702824,8
심취,-0.06724018,-0.4963326,0.98261297,2.0027664,8
답답,-0.67989564,-0.24114405,0.7012282,0.97702533,8
억지,-0.21152571,0.21163242,0.74227846,-1.4948425,8
순진,-1.6906723,1.1735785,0.36801064,0.6754363,8
연기,-1.5799564,-0.6999333,1.6198431,2.8393579,8
자책,-1.3065307,-1.569724,1.2947781,0.116081305,8
한심,-1.3304085,-0.8942384,0.4088839,-0.33604887,8
은밀,-0.7992352,-0.43018383,1.1764916,-0.22892295,8
어색,-1.0736407,-0.036913093,-0.3823972,2.2447948,8
부끄러움,-1.271618,-0.14879884,-0.6184517,-0.64366835,8
못마땅,-0.31369236,-0.05236024,1.4710541,0.61911625,8
불쌍,-2.0283573,0.03681514,1.1098678,0.14957054,8
탄식,-0.84554076,0.41216484,2.1483696,0.7075236,8
몸매,-2.5271761,-0.46478856,-1.2002554,-0.22520906,8
알몸,-2.0510042,-1.2501534,0.7221736,-0.06947388,8
불,-3.223098,-0.825354,1.2779785,1.1019013,8
지루,-0.9475265,-0.8139878,0.2333577,0.61147165,8
구토,-0.91290355,-1.2194734,-0.66445714,1.1150448,8
통곡,-1.5744087,0.07437429,2.244211,0.8278435,8
굶주림,-1.388607,-0.17605428,-0.11169228,-0.86365694,8
최악,0.15284146,-2.4779496,0.1121294,0.6028878,8
피로,-1.6231282,0.48228016,-1.9121242,1.1419564,8
얌전,-2.075489,-0.6884381,0.2705876,0.57421225,8
탕진,0.30521715,-1.7202369,2.146683,0.022287644,8
그만,-2.2179458,1.3224704,1.5482277,0.20558858,8
수긍,-0.36184564,-1.9116864,1.0435638,0.1669569,8
구걸,-1.3536111,-0.8014899,2.1728914,-0.4133701,8
눈치,-1.477338,0.42145675,1.695406,0.3375263,8
놀림,-0.9355071,-0.35787854,1.2326676,-0.9428029,8
인내심,-0.70547414,-0.96413517,-0.7891192,-0.5430283,8
엉덩이,-3.5370917,-0.26524004,-1.3210222,1.1525838,8
반대,7.819006,-0.17177872,2.310911,-0.15934105,9
지시,6.028382,-0.99552083,4.6033173,-3.789683,9
요구,11.490443,-1.6018487,1.2724054,-2.2777777,9
명령,5.765876,0.93713033,5.1190963,-5.031808,9
