,0,1,2,3,Cluster
도움,3.4255652,3.7518609,-0.05248581,0.7454801,7
감기,-3.3696012,-0.75823843,-1.2772157,2.8031752,1
불편,4.5814443,1.9180758,-3.2625127,4.2684474,7
좌절,3.2944152,0.7709043,2.6949084,1.296333,18
시련,-0.45024174,0.7196326,-0.9015865,-1.130098,2
냄새,-3.5789297,1.9166403,-5.367628,4.0478306,5
트림,-3.6810374,-3.5803216,-0.42398405,-0.13852789,13
구토,-0.91296685,-1.2169396,-0.66920435,1.1206869,8
위선,-0.20353615,-0.93368864,-1.4188409,-1.4332901,13
면도,-1.62779,-0.3275209,-1.9105481,0.48214957,1
생김새,-4.1211967,0.66500807,-2.3708143,1.2376269,5
선글라스,-3.0157337,-2.0817795,-0.052669436,-0.85711,13
열망,1.1444316,1.5748792,-2.080653,-2.2639096,2
감동,0.6410056,5.442926,-0.30434102,1.048645,0
공복,-1.5375595,-2.1639373,-0.033699304,-1.3547457,13
굶주림,-1.3886395,-0.17805211,-0.10967229,-0.8624864,8
인내심,-0.7054867,-0.9638058,-0.7887168,-0.54576546,8
주먹,-3.8718493,-0.12382058,0.21309122,0.9786869,15
영광,-1.6274372,4.886337,-0.8788419,-3.3602016,2
자부심,0.11524887,1.3029689,-2.0763757,-1.730394,2
즐거움,-1.393164,3.1305747,-3.7156227,-1.3200011,2
지방,-2.3887804,-7.050017,0.17961028,-3.5714433,14
입,-2.6347952,1.729898,2.9730833,3.0571423,0
결제,1.6235975,-6.585426,0.020734373,-0.8213142,14
엉덩이,-3.5367787,-0.26228622,-1.3240911,1.1564119,8
사악,-1.1865767,2.9929528,0.9760838,1.5761274,0
악마,-3.4679954,3.8666348,-1.2153536,-0.3776784,5
칼,-6.271521,0.84427106,3.960458,-0.5232742,15
이별,-2.9436178,3.193239,1.0341839,-0.40911487,4
진지,0.40499067,1.0477166,0.027742974,0.18972658,8
장기,-0.3308542,-4.978804,-2.0245924,-2.6172664,14
서서,-1.8306539,-1.0074565,1.3794008,-0.99747884,13
고충,0.032808878,-2.8261094,-0.5518212,-2.8274097,14
포식,-0.7107367,-1.5896112,-0.45359215,1.3778663,8
비통,-1.3764142,-0.5419222,0.9801715,-0.0057069333,8
우울,-0.9391551,0.9562204,-2.0658596,1.5682373,8
눈물,-4.5374603,6.218489,0.17931125,0.39380988,5
근무,2.5445724,-7.9005437,6.4306207,2.1384501,17
태연,-2.1300635,-0.3254308,0.5285161,-0.55787176,8
고분,-4.397228,-2.3653915,-0.43878144,-0.31898093,15
겁,-3.613167,3.5416002,0.30782366,0.4716089,5
불화,-0.17426576,0.86826026,-1.3520403,-1.2261351,2
방황,-1.4295624,0.4298133,0.96557796,0.41649774,8
표정,-2.530777,2.7597919,-3.2344997,1.3175743,5
활약,-0.5671387,-0.036795806,5.429663,5.0667405,12
